top,base,lithology,
2459.93,2460.03,nc,
2460.03,2460.39,sh,
2460.39,2460.5,nc,
2460.5,2460.98,sh,
2460.98,2461.02,nc,
2461.02,2462,sh,
2462,2463.03,nc,
2463.03,2463.67,sh,
2463.67,2463.71,ih,
2463.71,2463.87,sh,
2463.87,2464.14,nc,
2464.14,2464.89,sh,
2464.89,2465.03,nc,
2465.03,2465.17,sh,
2465.17,2465.195,is,
2465.195,2465.78,sh,
2465.78,2465.83,ih,
2465.83,2465.97,sh,
2465.97,2466.03,nc,
2466.03,2466.9,sh,
2466.9,2467.02,nc,
2467.02,2467.29,sh,
2467.29,2467.345,nc,
2467.345,2467.9,sh,
2467.9,2468.03,nc,
2468.03,2469.9,sh,
2469.9,2470.02,nc,
2470.02,2470.49,sh,
2470.49,2470.59,s,
2470.59,2470.63,sh,
2470.63,2470.7,s,
2470.7,2470.73,is,
2470.73,2471,s,
2471,2471.03,nc,
2471.03,2471.22,s,
2471.22,2471.48,sh,
2471.48,2471.54,is,
2471.54,2471.98,sh,
2471.98,2472.045,nc,
2472.045,2472.37,sh,
2472.37,2472.5,is,
2472.5,2472.595,s,
2472.595,2472.73,is,
2472.73,2472.75,ih,
2472.75,2472.79,s,
2472.79,2472.86,is,
2472.86,2473,s,
2473,2473.03,nc,
2473.03,2473.23,is,
2473.23,2473.31,s,
2473.31,2473.92,sh,
2473.92,2474.03,nc,
2474.03,2474.94,sh,
2474.94,2475.04,nc,
2475.04,2475.39,sh,
2475.39,2475.43,is,
2475.43,2475.47,nc,
2475.47,2475.49,is,
2475.49,2475.83,sh,
2475.83,2475.92,nc,
2475.92,2475.98,sh,
2475.98,2476.03,nc,
2476.03,2476.09,is,
2476.09,2476.46,sh,
2476.46,2476.6,nc,
2476.6,2476.98,sh,
2476.98,2477.04,nc,
2477.04,2477.99,sh,
2477.99,2478.03,nc,
2478.03,2478.99,sh,
2478.99,2479.02,nc,
2479.02,2479.92,sh,
2479.92,2480.06,nc,
2480.06,2480.44,sh,
2480.44,2480.6,nc,
2480.6,2480.83,sh,
2480.83,2480.98,ih,
2480.98,2481.05,nc,
2481.05,2481.44,sh,
2481.44,2481.61,ih,
2481.61,2481.9,is,
2481.9,2482.07,nc,
2482.07,2482.26,ih,
2482.26,2482.36,is,
2482.36,2482.42,ih,
2482.42,2482.96,ih,
2482.96,2483,nc,
2431,2431.33,nc,
2431.33,2431.555,is,
2431.555,2431.6,s,
2431.6,2431.62,ih,
2431.62,2431.77,s,
2431.77,2431.79,is,
2431.79,2431.85,s,
2431.85,2431.87,ih,
2431.87,2431.92,s,
2431.92,2431.95,is,
2431.95,2431.99,s,
2431.99,2432.04,nc,
2432.04,2432.06,s,
2432.06,2432.08,is,
2432.08,2432.13,s,
2432.13,2432.16,is,
2432.16,2432.34,s,
2432.34,2432.37,sh,
2432.37,2432.41,s,
2432.41,2432.43,ih,
2432.43,2432.53,s,
2432.53,2432.535,ih,
2432.535,2432.585,s,
2432.585,2432.6,ih,
2432.6,2432.63,s,
2432.63,2432.695,is,
2432.695,2432.76,ih,
2432.76,2432.8,s,
2432.8,2432.86,is,
2432.86,2432.99,s,
2432.99,2433.33,nc,
2433.33,2433.47,sh,
2433.47,2433.56,nc,
2433.56,2433.61,ih,
2433.61,2433.66,is,
2433.66,2433.76,ih,
2433.76,2433.78,s,
2433.78,2433.825,ih,
2433.825,2435.015,nc,
2435.015,2435.15,ih,
2435.15,2435.49,s,
2435.49,2435.64,is,
2435.64,2435.66,ih,
2435.66,2435.99,s,
2435.99,2436.01,nc,
2436.01,2436.68,s,
2436.68,2437.02,nc,
2437.02,2437.47,s,
2437.47,2437.505,is,
2437.505,2437.54,ih,
2437.54,2437.79,is,
2437.79,2437.97,s,
2437.97,2438.03,nc,
2438.03,2438.45,s,
2438.45,2438.48,ih,
2438.48,2438.52,is,
2438.52,2438.98,s,
2438.98,2440.02,nc,
2440.02,2440.85,s,
2440.85,2441.34,nc,
2441.34,2441.95,s,
2441.95,2442.02,nc,
2442.02,2442.98,s,
2442.98,2443.185,nc,
2443.185,2443.43,s,
2443.43,2443.47,is,
2443.47,2443.62,s,
2443.62,2443.66,is,
2443.66,2443.97,s,
2443.97,2444.03,nc,
2444.03,2444.07,sh,
2444.07,2444.12,is,
2444.12,2444.17,nc,
2444.17,2444.3,is,
2444.3,2444.495,s,
2444.495,2444.94,is,
2444.94,2445.05,nc,
2445.05,2445.66,s,
2445.66,2446.03,nc,
2446.03,2446.14,s,
2446.14,2446.23,is,
2446.23,2446.36,ih,
2446.36,2446.97,s,
2446.97,2447.03,nc,
2447.03,2447.67,s,
2447.67,2448.05,nc,
2448.05,2448.4,s,
2448.4,2448.5,sh,
2448.5,2448.68,nc,
2448.68,2448.9,s,
2448.9,2449.02,nc,
2449.02,2449.07,is,
2449.07,2449.25,is,
2449.25,2449.42,ih,
2449.42,2449.49,is,
2449.49,2449.53,sh,
2449.53,2449.56,s,
2449.56,2449.655,sh,
2449.655,2449.835,s,
2449.835,2449.97,ih,
2449.97,2450.07,nc,
2450.07,2450.1,s,
2450.1,2450.93,sh,
2450.93,2451.285,nc,
2451.285,2451.45,sh,
2451.45,2451.48,nc,
2451.48,2451.59,sh,
2451.59,2451.675,ih,
2451.675,2451.75,sh,
2451.75,2451.795,ih,
2451.795,2451.975,sh,
2451.975,2452.03,nc,
2452.03,2452.8,sh,
2452.8,2454.31,nc,
2454.31,2454.75,sh,
2454.75,2454.83,nc,
2454.83,2454.98,sh,
2454.98,2455.05,nc,
2455.05,2455.89,sh,
2455.89,2456,nc,
2456,2456.02,nc
2456.02,2456.97,sh
2456.97,2457.055,nc
2457.055,2457.95,sh
2457.95,2458.02,nc
2458.02,2458.98,sh
2458.98,2459.06,nc
2459.06,2459.93,sh
2459.93,2460.03,nc
2460.03,2460.39,sh
2460.39,2460.5,nc
2460.5,2460.98,sh
2460.98,2461.02,nc
2461.02,2462,sh
2462,2463.03,nc
2463.03,2463.67,sh
2463.67,2463.71,ih
2463.71,2463.87,sh
2463.87,2464.14,nc
2464.14,2464.89,sh
2464.89,2465.03,nc
2465.03,2465.17,sh
2465.17,2465.195,is
2465.195,2465.78,sh
2465.78,2465.83,ih
2465.83,2465.97,sh
2465.97,2466.03,nc
2466.03,2466.9,sh
2466.9,2467.02,nc
2467.02,2467.29,sh
2467.29,2467.345,nc
2467.345,2467.9,sh
2467.9,2468.03,nc
2468.03,2469.9,sh
2469.9,2470.02,nc
2470.02,2470.49,sh
2470.49,2470.59,s
2470.59,2470.63,sh
2470.63,2470.7,s
2470.7,2470.73,is
2470.73,2471,s
2471,2471.03,nc
2471.03,2471.22,s
2471.22,2471.48,sh
2471.48,2471.54,is
2471.54,2471.98,sh
2471.98,2472.045,nc
2472.045,2472.37,sh
2472.37,2472.5,is
2472.5,2472.595,s
2472.595,2472.73,is
2472.73,2472.75,ih
2472.75,2472.79,s
2472.79,2472.86,is
2472.86,2473,s
2473,2473.03,nc
2473.03,2473.23,is
2473.23,2473.31,s
2473.31,2473.92,sh
2473.92,2474.03,nc
2474.03,2474.94,sh
2474.94,2475.04,nc
2475.04,2475.39,sh
2475.39,2475.43,is
2475.43,2475.47,nc
2475.47,2475.49,is
2475.49,2475.83,sh
2475.83,2475.92,nc
2475.92,2475.98,sh
2475.98,2476.03,nc
2476.03,2476.09,is
2476.09,2476.46,sh
2476.46,2476.6,nc
2476.6,2476.98,sh
2476.98,2477.04,nc
2477.04,2477.99,sh
2477.99,2478.03,nc
2478.03,2478.99,sh
2478.99,2479.02,nc
2479.02,2479.92,sh
2479.92,2480.06,nc
2480.06,2480.44,sh
2480.44,2480.6,nc
2480.6,2480.83,sh
2480.83,2480.98,ih
2480.98,2481.05,nc
2481.05,2481.44,sh
2481.44,2481.61,ih
2481.61,2481.9,is
2481.9,2482.07,nc
2482.07,2482.26,ih
2482.26,2482.36,is
2482.36,2482.42,ih
2482.42,2482.96,ih
2482.96,2483,nc
2483,2483.04,nc
2483.04,2483.08,sh
2483.08,2483.16,ih
2483.16,2483.56,sh
2483.56,2483.67,nc
2483.67,2483.97,ih
2483.97,2484.39,nc
2484.39,2484.74,is
2484.74,2484.98,s
2484.98,2486.08,nc
2486.08,2486.51,s
2486.51,2486.95,is
2486.95,2487.06,nc
2487.06,2487.33,is
2487.33,2487.93,s
2487.93,2488.27,nc
2488.27,2488.61,is
2488.61,2488.72,ih
2488.72,2488.87,nc
2488.87,2488.91,ih
2488.91,2489.04,nc
2489.04,2489.35,ih
2489.35,2489.49,is
2489.49,2489.86,s
2489.86,2490.31,nc
2490.31,2490.94,s
2490.94,2491.14,nc
2491.14,2491.6,s
2491.6,2491.88,nc
2491.88,2491.97,ih
2491.97,2492.035,nc
2492.035,2492.78,s
2492.78,2492.97,is
2492.97,2493,nc
